slug;school_id;korpus_id;walk_min;walk_m
altufevskoe-53;shkola-1794-im-a-s-chufistova;shkola-1794-im-a-s-chufistova-4;17;1263
altufevskoe-53;osm-517-nachalnaya-shkola-1826;osm-517-nachalnaya-shkola-1826-1;21;1579
altufevskoe-53;osm-348-shkola-302;osm-348-shkola-302-1;21;1588
altufevskoe-53;osm-386-shkola-272;osm-386-shkola-272-1;24;1800
altufevskoe-53;shkola-1370;shkola-1370-2;24;1829
altufevskoe-53;osm-490-shkola-958;osm-490-shkola-958-1;27;2023
altufevskoe-53;osm-454-shkola-267;osm-454-shkola-267-1;27;2028
altufevskoe-53;shkola-1383;shkola-1383-1;28;2075
altufevskoe-53;shkola-1554;shkola-1554-2;28;2077
altufevskoe-53;shkola-1296;shkola-1296-1;29;2204
altufevskoe-53;shkola-656-im-a-s-makarenko;shkola-656-im-a-s-makarenko-2;29;2212
altufevskoe-53;shkola-950;shkola-950-1;30;2222
amber-siti;shkola-1288-im-n-v-troyan;shkola-1288-im-n-v-troyan-3;4;269
amber-siti;pansion-vospitannits-ministerstva-oborony-rf;pansion-vospitannits-ministerstva-oborony-rf-1;13;995
amber-siti;shkola-141-im-riharda-zorge;shkola-141-im-riharda-zorge-1;27;2008
amber-siti;shkola-1409;shkola-1409-1;29;2155
amber-siti;osm-447-litsey-1550;osm-447-litsey-1550-1;30;2233
annabel-s;litsey-ranhigs;litsey-ranhigs-2;4;312
annabel-s;shkola-1529-imeni-a-s-griboedova;shkola-1529-imeni-a-s-griboedova-4;5;348
annabel-s;preduniversitariy-mglu;preduniversitariy-mglu-1;11;810
annabel-s;shkola-1231-im-v-d-polenova;shkola-1231-im-v-d-polenova-4;11;851
annabel-s;pyatdesyat-sedmaya-shkola;pyatdesyat-sedmaya-shkola-3;17;1273
annabel-s;shkola-1253;shkola-1253-2;17;1287
annabel-s;osm-34-shkola-1331-molodaya-iveriya;osm-34-shkola-1331-molodaya-iveriya-1;17;1290
annabel-s;shkola-1799;shkola-1799-3;25;1857
annabel-s;osm-567-pirogovskaya-shkola;osm-567-pirogovskaya-shkola-1;26;1961
annabel-s;shkola-91;shkola-91-1;27;2019
annabel-s;chastnaya-shkola-zolotoe-sechenie;chastnaya-shkola-zolotoe-sechenie-1;28;2080
annabel-s;shkola-1234;shkola-1234-1;29;2212
apsayd-tauers;osm-561-shkola-252;osm-561-shkola-252-1;11;851
apsayd-tauers;osm-441-shkola-1956;osm-441-shkola-1956-1;20;1523
apsayd-tauers;shkola-1236-im-s-v-milashenkova;shkola-1236-im-s-v-milashenkova-4;21;1604
apsayd-tauers;shkola-1494;shkola-1494-2;26;1977
apsayd-tauers;osm-513-finansovo-ekonomicheskaya-shko;osm-513-finansovo-ekonomicheskaya-shko-1;28;2101
apsayd-tauers;shkola-218;shkola-218-2;29;2151
apsayd-tauers;osm-630-shkola-968;osm-630-shkola-968-1;29;2172
apsayd-tauers;osm-562-shkola-1164;osm-562-shkola-1164-1;30;2222
aristarkhovskiy;shkola-sotrudnichestva;shkola-sotrudnichestva-1;4;312
aristarkhovskiy;shkola-2104-na-taganke;shkola-2104-na-taganke-2;7;492
aristarkhovskiy;osm-496-spetsshkola-486;osm-496-spetsshkola-486-1;9;685
aristarkhovskiy;osm-482-tsentr-obrazovaniya-1685;osm-482-tsentr-obrazovaniya-1685-1;10;781
aristarkhovskiy;osm-637-shkola-1271;osm-637-shkola-1271-1;11;811
aristarkhovskiy;shkola-1270-vektor;shkola-1270-vektor-2;11;813
aristarkhovskiy;osm-497-shkola-498;osm-497-shkola-498-1;14;1066
aristarkhovskiy;shkola-pokrovskiy-kvartal;shkola-pokrovskiy-kvartal-7;14;1076
aristarkhovskiy;osm-650-pravoslavnaya-svyato-petrovska;osm-650-pravoslavnaya-svyato-petrovska-1;15;1144
aristarkhovskiy;shkola-tsentra-pedagogicheskogo-masterstva-tspm;shkola-tsentra-pedagogicheskogo-masterstva-tspm-2;17;1251
aristarkhovskiy;inzhenernaya-shkola-1581;inzhenernaya-shkola-1581-2;17;1254
aristarkhovskiy;osm-592-shkola-457;osm-592-shkola-457-1;22;1635
aristarkhovskiy;osm-368-svyato-vladimirskaya-shkola;osm-368-svyato-vladimirskaya-shkola-1;22;1680
aristarkhovskiy;litsey-niu-vshe;litsey-niu-vshe-4;23;1701
aristarkhovskiy;osm-543-internat-tretiy-moskovskiy-kad;osm-543-internat-tretiy-moskovskiy-kad-1;23;1714
