slug;name;developer;class;district;address;has_img
malaya-dmitrovka-5-9;Малая Дмитровка 5/9;;делюкс;Тверской;ул. Малая Дмитровка, 5/9;
tessinskiy-v;Тессинский V;Element Development;элитный;Таганский;Тессинский пер., 5;
turgenev;Turgenev (Клубный дом Тургенев);Неострой;элитный;Красносельский;Костянский пер., 13;
usacheva-22;Усачева 22;Regions Development;делюкс;Хамовники;ул. Усачёва, 22;
annabel-s;Annabel's (1913);PALLADIO Group;элитный;Хамовники;Курсовой пер., 12/5, стр. 7;
khilkov;Хилков;ROSE GROUP;делюкс;Хамовники;Хилков пер., 5;
olsufevskiy-10;Олсуфьевский 10;;делюкс;Хамовники;Олсуфьевский пер., 10;
le-dom;Лё Дом (Le Dome);Группа ЛСР;делюкс;Хамовники;Соймоновский проезд;
lva-tolstogo-14;Льва Толстого 14;;делюкс;Хамовники;ул. Льва Толстого, 14;
zemledelcheskiy-15;Земледельческий 15;;делюкс;Хамовники;Земледельческий пер., 15;
bolshaya-pirogovskaya-51;Большая Пироговская 51;;делюкс;Хамовники;ул. Большая Пироговская, 51;
kapranova-3;Капранова 3;;делюкс;Пресненский;Капранова пер., 3;
malaya-nikitskaya-29-31;Малая Никитская 29-31;;делюкс;Пресненский;ул. Малая Никитская, 29-31;
bolshaya-ordynka-25;Большая Ордынка 25;;делюкс;Замоскворечье;ул. Большая Ордынка, 25;
vozdvizhenka-7-6;Воздвиженка 7/6;;делюкс;Арбат;ул. Воздвиженка, 7/6;
malaya-polyanka-3;Малая Полянка 3;;делюкс;Якиманка;ул. Малая Полянка, 3;
bernikovskaya-naberezhnaya-12;Берниковская набережная 12;;делюкс;Таганский;Берниковская наб., 12;
rezidentsii-skolkovo;Резиденции Сколково;Абсолют Недвижимость;бизнес;рп Заречье, Одинцовский г.о., Сколковское шоссе, ~2 км от МКАД;Московская обл., Одинцовский г.о., рп Заречье;
skolkovo-one;Skolkovo ONE;IKON Development;бизнес;рп Заречье, Одинцовский г.о., ул. Торговая, ~2 км от МКАД;Московская обл., Одинцовский г.о., рп Заречье, ул. Торговая, корп. 5-7;
skolkovo-park;Сколково Парк;Заречье-девелопмент;премиум;рп Заречье, Одинцовский г.о., ул. Весенняя, ~2 км от МКАД;Московская обл., Одинцовский г.о., рп Заречье, ул. Весенняя, вл. 2;
zareche-park;Заречье Парк;Группа Самолет;бизнес;рп Заречье, Одинцовский г.о., ул. Заречная;Московская обл., Одинцовский г.о., рп Заречье, ул. Заречная;
granel-prityazhenie-siti;Гранель Притяжение Сити;ГК Гранель;бизнес;Одинцовский г.о., ~7 мин до Сколково;Московская обл., Одинцовский г.о.;
klubnyy-dom-tochka-otscheta;Клубный дом Точка отсчета;Е-Девелопмент;бизнес;Жуковка-1, Рублёво-Успенское шоссе, ~9 км от МКАД;Московская обл., Одинцовский г.о., Жуковка-1, ул. Сосновый Бор, д. 53;
level-barvikha-residence;Level Barvikha Residence;Level Group (СЗ МастерСтрой);бизнес;д. Барвиха, Рублёво-Успенское шоссе, 8 км от МКАД;Московская обл., Одинцовский г.о., д. Барвиха, Рублёво-Успенское ш., 8-й км;
barvikha-river-house;Barvikha River House;СЗ ЛСР. Объект-М (Группа ЛСР);премиум;д. Барвиха, Рублёво-Успенское шоссе, ~8 км от МКАД;Московская обл., Одинцовский г.о., д. Барвиха;
