school_id;school;in_nota_base;type;tier;building;lat;lon;source;osm_id
osm-367-shkola-1929;Школа №1929;нет;Другая;;Школа №1929;55.635430;37.743300;OpenStreetMap, корпус;r1763003
osm-368-svyato-vladimirskaya-shkola;Свято-Владимирская школа;нет;Другая;;Свято-Владимирская школа;55.753682;37.640627;OpenStreetMap, корпус;w131751466
osm-369-shkola-245;Школа №245;нет;Другая;;Школа №245;55.890966;37.613045;OpenStreetMap, корпус;w132725687
osm-370-ano-shkola-premer;"АНО ""Школа ""Премьер""";нет;Другая;;"АНО ""Школа ""Премьер""";55.619742;37.725728;OpenStreetMap, корпус;w134901767
osm-371-shkola-939;Школа №939;нет;Другая;;Школа №939;55.613618;37.723664;OpenStreetMap, корпус;w134901782
osm-371-shkola-939;Школа №939;нет;Другая;;Школа №939;55.622280;37.724076;OpenStreetMap, корпус;w711306807
osm-371-shkola-939;Школа №939;нет;Другая;;Школа №939;55.616180;37.726201;OpenStreetMap, корпус;r11086454
osm-372-litsey-15;Лицей №15;нет;Другая;;Лицей №15;55.901635;37.409405;OpenStreetMap, корпус;w134988944
osm-373-shkola-15;Школа №15;нет;Другая;;Школа №15;55.828873;37.293208;OpenStreetMap, корпус;r13468549
osm-374-shkola-149-imeni-geroya-sovets;Школа № 149 имени Героя Советского Союза Ю;нет;Другая;;Школа № 149 имени Героя Советского Союза Ю. Н. Зыкова;55.805705;37.500950;OpenStreetMap, корпус;r1819043
osm-375-shkola-1631-imeni-geroya-sovet;Школа № 1631 имени Героя Советского Союза В;нет;Другая;;Школа № 1631 имени Героя Советского Союза В.П. Кислякова. Учебный корпус № 668;55.896518;37.532351;OpenStreetMap, корпус;w135398212
osm-375-shkola-1631-imeni-geroya-sovet;Школа № 1631 имени Героя Советского Союза В;нет;Другая;;Школа № 1631 имени Героя Советского Союза В.П. Кислякова. Учебный корпус № 1631;55.892120;37.539580;OpenStreetMap, корпус;r7190748
